,url,status,title,email,phone,address,copyright,norm_title,scraped_index,company_index,score,address1,city,postal_code,country,founding_date,name,company_number,phone_number,unique_id,norm_name
3373,https://www.berakha.nl/,200,Berakha – Beter zorg,,,,,berakha beter zorg,3373,6328,69,Kerkeind 40 A,Milheeze,5763BC,NL,2021-01-01,Peel Zorg Brabant B.V.,70063079,+31492238058,603582514,peel zorg brabant
3375,https://www.maaikerijnsburger.nl/,200,Home - Maaike Rijnsburger,,,,,home maaike rijnsburger,3375,9742,88,Edmond Audranstraat 251,Utrecht,3543BH,NL,2013-01-01,Maaike Rijnsburger,58707719,,602232667,maaike rijnsburger
3376,https://protect-us.nl,200,Protect US,,,,© Protect US 2024,protect us,3376,9101,70,Hendrika V Tussenbroekln 5 BS,Utrecht,3533SZ,NL,2022-01-01,72Projects,86342819,,605358221,72projects
3377,https://www.stempel.nl/,200,Stempels maken en bestellen in 4 stappen.,mailto:sales@stempel.nl,,,©2024 STEMPEL 539. Onderdeel van VISION BRANDS,stempels maken bestellen 4 stappen,3377,3727,56,2E Jan VD Heijdenstr 23 2,Amsterdam,1073VG,NL,1999-01-01,Det Smeets Beeldend Kunstenaar,34369719,,600760414,det smeets beeldend kunstenaar
3379,https://andrevandijkarchitect.nl,200,Home | andrevandijkarchitect.nl	,"mailto:?subject=Website%20André%20van%20Dijk%20Architect&body=Gezien%20op%20andrevandijkarchitect.nl,%20klik%20op%20onderstaande%20link.%0Ahttps://andrevandijkarchitect.nl/%0A%0AGroet,%0A",,,,home andrevandijkarchitectnl,3379,9512,60,Paviljoenstraat 44,Grou,9001BS,NL,2015-01-01,André van Dijk Architect,63256886,+31566623755,602778092,andré dijk architect
3380,https://www.sportmassageveldhoven.nl/en/,200,Sportmassage Veldhoven,,,,,sportmassage veldhoven,3380,8105,100,Vlutterven 12,Veldhoven,5508RM,NL,2018-01-01,Sportmassage Veldhoven,70493820,,603642518,sportmassage veldhoven
3383,https://www.carvision.nl/nl/,200,"
	CarVision
",mailto:info@carvision.nl,tel:0031263622022,,,carvision,3383,5141,100,Typograaf 21,Duiven,6921VB,NL,2006-01-01,Carvision B.V.,09108772,+31263622022,515294286,carvision
3385,https://www.houthandelbos.nl/,200,Houthandel Bos,mailto:info@houthandelbos.nl,tel:+31591361516,,© 2024 Houthandel Bos,houthandel bos,3385,68,93,Kapitein Grantstraat 30 A,Emmen,7821AR,NL,1999-01-01,Houthandel W. Bos B.V.,04059244,+31591361516,514942440,houthandel w bos
3386,https://marsmanwonen.nl,200,Home - Anders Wonen,mailto:info@marsmanwonen.nl,tel:0524561339,,,home anders wonen,3386,6879,70,Oudesluis 4,Lemmer,8531HT,NL,1996-01-01,'t Anker Wonen Mode Kado,52462277,+31514533648,601267369,t anker wonen mode kado
3387,https://greenwriting.nl,200,Green Writing,mailto:info@greenwriting.nl,,,© Green Writing | KvK 72152249,green writing,3387,9235,100,Oliemolenstraat 29,Heerlen,6411GJ,NL,2018-01-01,Green Writing,72152249,,603839444,green writing
3388,https://www.hetraco.com/,200,Welkom - Hetraco B.V.,,,,,welkom hetraco,3388,9375,67,Hoornaar 11,Apeldoorn,7317BR,NL,2005-01-01,Hetraco B.V.,08047365,+31553032180,523682230,hetraco
3389,https://www.uitvaartverzorging-eefting.nl/,200,Uitvaartverzorging tot in het detail - Eefting Uitvaartverzorging,mailto:info@uitvaartverzorging-eefting.nl,tel:0597412628,,,uitvaartverzorging detail eefting uitvaartverzorging,3389,120,67,Oostereinde 11,Winschoten,9672TB,NL,1997-01-01,Uitvaartverzorging Eefting B.V.,02062153,+31597412628,513456663,uitvaartverzorging eefting
3390,https://www.kvc-oranje.nl/,200,"
	Home - KVC Oranje
",,,,,home kvc oranje,3390,6450,80,Voorterstraat 80,Kerkrade,6462SX,NL,1911-01-01,K.V.C. 'Oranje',40186667,+31455451264,521828549,kvc oranje
3391,https://partybootdekoperenhoorn.nl,200,Varend feesten door de Westfriese polders | Partyboot De Koperen Hoorn,mailto:info@partybootdekoperenhoorn.nl,tel:06 - 23 689 758,,© Partyboot De Koperen Hoorn,varend feesten westfriese polders partyboot koperen hoorn,3391,2829,57,Dorpsstraat 89,Winkel,1731RC,NL,2005-01-01,Partyboot de Koperen Hoorn,37116281,+31224541587,524474689,partyboot koperen hoorn
3392,https://www.lrsmiles.nl/,200,LR Smiles ~ Tandartspraktijk Leidsche Rijn,,,,© LR Smiles.,lr smiles tandartspraktijk leidsche rijn,3392,7989,79,Laan van Moskou 113,Utrecht,3541EM,NL,2019-01-01,LR Smiles Tandartspraktijk,75102072,,604188547,lr smiles tandartspraktijk
3394,https://werkwens.nl,200,WERKWENS – En nog een WordPress site,,,,,werkwens nog wordpress site,3394,5382,60,Heisteeg 41,Stein LB,6171NH,NL,2021-01-01,Weiss Schilderwerken,82450633,,604909845,weiss schilderwerken
3395,https://www.werkplaatsinrichting.nl/?SID=dbscqkoigbjvnreuh9hmufk242,200,Werkplaats inrichten en uitrusten | Werkplaatsinrichting.nl,mailto:info@werkplaatsinrichting.nl,tel:+31(0)413-275804,,Copyright © Werkplaatsinrichting.nl,werkplaats inrichten uitrusten werkplaatsinrichtingnl,3395,6452,59,Brouwerstraat 2,Uden,5405BK,NL,2015-01-01,P+ Werkplaatsinrichting B.V.,64731634,+31413275804,602951209,p werkplaatsinrichting
3397,https://www.gebtoren.nl/,200,Home - GEB-TOREN,,,,© Copyright 2023 GEB-toren.nl. All right reserved. Gebouwd door,home gebtoren,3397,6853,61,Spoorlaan 33 A,Wezep,8091JB,NL,2020-01-01,Meer Dan Leren,80978509,,604737494,meer leren
3399,https://broekinstallatiewerken.nl,200,Homepagina - Van den Broek Installatiewerken,mailto:info@broekinstallatie.nl,tel:31765020789,,,homepagina den broek installatiewerken,3399,3499,83,Vosdonk 41,Etten-Leur,4879NC,NL,2011-01-01,Van den Broek Installatiewerken B.V.,53957547,+31765020789,601471163,den broek installatiewerken
3400,https://www.vestjens.co.uk,200,Intro,,,,,intro,3400,4163,83,Kelvinring 44,Alblasserdam,2952BG,NL,2015-01-01,Finitro B.V.,24341582,+31786522720,519160129,finitro
3401,https://genetics.nl,200,Genetics B.V.,,,,,genetics,3401,2097,100,Bouwmeesterweg 8,Almere,1333LC,NL,2023-01-01,Genetics B.V.,39055067,+31365400850,528627008,genetics
3402,https://www.marionheres.nl/,200,"Artist, Writer and Umologist",,,,All content en artwork © 2024 Marion Heres -All rights reserved,artist writer and umologist,3402,8849,56,Mascagnihof 620,Tilburg,5049BV,NL,2021-01-01,"Speak, Read, Write and Listen",82875359,,604960666,speak read write and listen
3406,https://unisol.nl,200,Unisol: dé specialist in isolatie en bouwpanelen,mailto:info@unisol.nl,tel:071-5413510,,,unisol dé specialist isolatie bouwpanelen,3406,6163,62,Zonnehorst 11,Zutphen,7207BT,NL,2012-01-01,Apeldoornse Tuinhuis Specialist B.V.,55404154,+31575200200,601647951,apeldoornse tuinhuis specialist
3408,https://360advocaten.nl,200,360|advocaten,mailto:vergeer@360advocaten.nl,,,© 2024,360advocaten,3408,9790,96,Koninginnegracht 19,'s-Gravenhage,2514AB,NL,2016-01-01,360 Advocaten B.V.,57702551,,602111226,360 advocaten
3409,https://hermanjansen.nl,200,Herman Jansen,,,,,herman jansen,3409,7644,69,Hoogeindsestraat 15 B,Rijkevoort,5447PD,NL,2018-01-01,Jansen Bronbemaling B.V.,71447814,+31485371913,603744949,jansen bronbemaling
3410,https://www.hfkits.nl/,200,HF kits zelfbouwkits en onderdelen voor radio zendamateurs,mailto:info@hfkits.nl,,,© HF Kits 2019. All rights reserved.,hf kits zelfbouwkits onderdelen radio zendamateurs,3410,4882,51,Kerkstraat 5,Hengevelde,7496PC,NL,2016-01-01,Autosport Onderdelen Waanders,66831946,,603205106,autosport onderdelen waanders
3411,https://www.radesys.com/,200,RaDeSys,mailto:marketing@radesys.com,,,© Copyright 2016 RaDeSys BV Amsterdam The Netherlands.,radesys,3411,9513,100,Nieuwmarkt 14 2,Amsterdam,1012CR,NL,2002-01-01,Radesys B.V.,34109195,,514535871,radesys
3413,https://werkspoorkathedraal.nl,200,Werkspoorkathedraal,,,,©,werkspoorkathedraal,3413,7754,59,Herengracht 469,Amsterdam,1017BS,NL,2021-01-01,Werkspot B.V.,18079951,+31137440115,525523759,werkspot
3414,https://www.degroot-techniek.nl/,200,Takelwagenfabrikant -De Groot Techniek	,mailto:info@degroot-techniek.nl,tel:0031418677064,,,takelwagenfabrikant groot techniek,3414,7099,63,Marshof 8,Huis Ter Heide UT,3712XN,NL,2023-01-01,Droogendijk Techniek B.V.,92123333,+31346211199,606039088,droogendijk techniek
3415,https://conferentiearbeidsmigranten.nl,200,"
			        	            Conferentie Arbeidsmigranten
                		",,,,,conferentie arbeidsmigranten,3415,4398,58,Oud-Bodegraafseweg 22 A,Bodegraven,2411HS,NL,2012-01-01,Oefentherapie Bodegraven,55938671,+31172616819,601899462,oefentherapie bodegraven
3416,https://dedijk.nl,200,De Dijk,mailto:hansvanderlubbe@twistagency.nl,,,,dijk,3416,9803,100,Sandtlaan 36 D6,Katwijk ZH,2223GG,NL,1996-01-01,De Dijk,28070250,+31714077041,600576827,dijk
3418,https://www.wieldersmanagement.nl/,200,Rotterdam Leisure Group - Wielders Management,,tel:+31(0)102449839,,,rotterdam leisure group wielders management,3418,7626,61,Parkhaven 11,Rotterdam,3016GM,NL,2010-01-01,Wielders Management B.V.,50174940,+31104362133,600977208,wielders management
3419,https://www.deballonnenwinkel.nl/,200,deballonnenwinkel.nl,mailto:info@deballonnenwinkel.nl,,,© 2024 De Ballonnenwinkel,deballonnenwinkelnl,3419,9218,88,Oostzanerdijk 143 G,Amsterdam,1035EX,NL,2021-01-01,De Ballonnenwinkel,83531505,+31204930606,605035981,ballonnenwinkel
3420,https://www.skybound.com/,200,Skybound Entertainment - Skybound Entertainment,,,,© 2024,skybound entertainment skybound entertainment,3420,5033,59,Zomerhofstraat 60,Rotterdam,3032CM,NL,2022-01-01,Holland Harbour Entertainment B.V.,50710052,+31102331400,601052708,holland harbour entertainment
3421,https://peetersgroep.com,200,Peeters Groep,,,,,peeters groep,3421,8518,100,Reigerslaan 31,Voorhout,2215NM,NL,2006-01-01,Peeters Groep B.V.,28108617,,497631489,peeters groep
3423,https://www.levelmatters.com/?lang=en,200,Home | Level Matters,mailto:info@mysite.com,,,© 2021 by Level Matters,home level matters,3423,2476,84,Brugakker 1631,Zeist,3704WK,NL,2021-01-01,Level Matters,81328370,,604780826,level matters
3425,https://www.joustrategels.nl/,200,Joustra Tegels - Joustra,,,,,joustra tegels joustra,3425,8008,78,Gieterij 90,Noordwijkerhout,2211ZD,NL,2019-01-01,Joustra Tegels B.V.,75201208,+31252344744,604192056,joustra tegels
3426,https://henkkosse.com,200,Henk Kosse – Varkenshandel – Dedemsvaart,mailto:info@henkkosse.com,tel:+31523616090,,,henk kosse varkenshandel dedemsvaart,3426,2184,58,Wetering 2,Wierden,7641LG,NL,2020-01-01,Vatenhandel Haarhof B.V.,78431506,,604570313,vatenhandel haarhof
3427,https://sparkll.nl/en/home/,200,- Sparkll,,,,,sparkll,3427,2251,100,Moerbeilaan 82,Hilversum,1214LX,NL,2021-01-01,Sparkll,82348545,,604898624,sparkll
3428,https://www.pluimveehandelvanhunnik.nl/,200,Pluimveehandel Van Hunnik B.V. | Uw pluimveehandelaar uit Veenendaal,mailto:info@pluimveehandelvanhunnik.nl,,,© Pluimveehandel Van Hunnik B.V. All rights reserved,pluimveehandel hunnik uw pluimveehandelaar veenendaal,3428,176,57,Bobinestraat 63,Veenendaal,3903KE,NL,1945-01-01,Pluimveehandel van Hunnik B.V.,30071875,+31318527373,519329885,pluimveehandel hunnik
3429,https://www.mifitsport.nl/,200,Personal Trainer Delft | Mifit Sport | PT Training Delft,mailto:info@mifitsport.nl,tel:+31%20(0)6%2014%2002%2084%2089,,Mifitsport © 2024,personal trainer delft mifit sport pt training delft,3429,739,54,Van Schouwenburgstraat 7 201,Sneek,8607BX,NL,2021-01-01,Fearless Personal Training,81457073,,604792966,fearless personal training
3431,https://hofman-automatisering.nl,200,Hofman Automatisering,mailto:info@hofman-automatisering.nl,,,,hofman automatisering,3431,2918,100,Waterlei 136,Apeldoorn,7325GK,NL,2008-01-01,Hofman Automatisering,08174588,+31553664196,600214359,hofman automatisering
3432,https://www.marelllouise.nl/,200,Marell Louise — Don't limit your vision,mailto:info@marelllouise.nl,,,,marell louise dont limit your vision,3432,6165,53,Parkweg 102,Enschede,7545MV,NL,2023-01-01,Marell Louise,89095499,,605684451,marell louise
3433,https://www.agshollandbv.nl/,200,AGS,,,,©,ags,3433,2255,67,Parmentierstraat 9,Hoogeveen,7903TN,NL,1992-01-01,A.S.K. B.V.,04037651,+31528278958,523980335,ask
3434,https://artindexrotterdam.nl,200,Exhibitions | Art Index Rotterdam,,,,©Art Index Rotterdam 2018 - 2020,exhibitions art index rotterdam,3434,4818,76,Ruivenstraat 39 Kantoorruimt,Rotterdam,3036DD,NL,2017-01-01,Art Index Rotterdam,69265321,+31102299629,603495071,art index rotterdam
3435,https://eccm.nl,200,ECCM.nl,,,,Copyright © 2013 ECCM B.V.,eccmnl,3435,5175,80,st. Antoniusstraat 9,Heel,6097ND,NL,2012-01-01,E.C.C.M. B.V.,55431410,+31475573335,601650269,eccm
3437,https://www.technicom.nl/,200,Samenwerken aan ontwikkeling - Technicom,mailto:info@technicom.nl,,,Copyright © 2024 Technicom,samenwerken aan ontwikkeling technicom,3437,674,57,Jacob Marisstraat 16,Bergen LB,5854ET,NL,1986-01-01,Stichting Ontwikkelingssamenwerking (Der) Gemeente Bergen (Limburg),41063451,,522611225,stichting ontwikkelingssamenwerking der gemeente bergen limburg
3438,https://go2solutions.nl,200,Go2 Solutions - Online Werkplek: Volledige IT-ontzorging vaste p/m,,,,Go2 Solutions © 2024,go2 solutions online werkplek volledige itontzorging vaste pm,3438,1776,45,De Boelelaan 32,Amsterdam,1083HJ,NL,2004-01-01,Finis Securitas Vastgoed Holding B.V.,34203114,+31883221100,521136943,finis securitas vastgoed holding
3439,https://cottagejacob.nl/en,200,Cottage Jacob,mailto:info@cottagejacob.nl,,,,cottage jacob,3439,5011,100,Brederodestraat 5,Zandvoort,2042BA,NL,2022-01-01,Cottage Jacob,87930552,,605555064,cottage jacob
3440,https://quovadis.nl,200,Quo Vadis Software Development Website,,,,,quo vadis software development website,3440,2755,68,Spicastraat 182 A,Groningen,9742LW,NL,2019-01-01,Pmi Software Development B.V.,76499782,,604342211,pmi software development
3442,https://www.mpcomposiet.nl/,200,MP Composiet // MPC,,,,Copyright © 2024 MP Composiet // MPC,mp composiet mpc,3442,4672,56,Anna Reynvaanstraat 26,Leiden,2331PC,NL,2006-01-01,M. Compeer,28112579,+31715720925,520336199,m compeer
3443,https://180global.com/,200,180 Global,,,,© 2024 180 Global,180 global,3443,3790,55,Wipmolen 19,Amsterdam,1035CV,NL,2016-01-01,Local2Global B.V.,67492223,+31206334843,603279472,local2global
3444,https://www.irno.nl/,200,Irno,,,,© 2024 Irno,irno,3444,6361,100,Parallelweg 3 A,Renswoude,3927BZ,NL,2005-01-01,Irno B.V.,08097404,+31343480612,517335890,irno
3445,https://www.benc.nl/en/,200,"Wellness products, sauna scents, massage oils en beauty products - Beauty & Care BV",,tel:+31135716033,,,wellness products sauna scents massage oils beauty products beauty care,3445,5964,44,Rameaustraat 13,Heemskerk,1962CA,NL,2021-01-01,Beauty Care by Grace,81382537,,604785632,beauty care by grace
3446,https://verschureshipping.com,200,Verschure Shipping BV,mailto:info@verschureshipping.com,tel:0162 522 447,,,verschure shipping,3446,9259,100,Korte Broekstraat 9 A,Raamsdonk,4944XM,NL,2014-01-01,Verschure Shipping B.V.,18112419,+31162522447,515955841,verschure shipping
3447,https://dbkverzekeringen.nl,200,Verzekeringen & Hypotheken met persoonlijke service,mailto:info@dbkverzekeringen.nl,tel::0594-745686,,Copyright © 2024 | Vormgeving en realisatie,verzekeringen hypotheken persoonlijke service,3447,2433,63,Boothuizen 6,Bakel,5761GS,NL,1994-01-01,Hendriks Verzekeringen B.V.,16076737,+31485383415,530072005,hendriks verzekeringen
3451,https://vanveenautoschade.nl,200,ASN van Veen Leiden - IJzersterk in autoschade,,,,,asn veen leiden ijzersterk autoschade,3451,8983,61,Vierlinghstraat 35,Werkendam,4251LC,NL,2009-01-01,Heijstek Autoschade B.V.,18117195,+31183503765,515977679,heijstek autoschade
3453,https://kh-engineering.nl,200,GolRunner,,,,,golrunner,3453,9588,67,120-8610 36 st NE,Calgary,T3J2E1,CA,,Golder,,+1403-248-6386,319299719,golder
3454,https://www.safetyprepare.nl/,200,https://www.safetyprepare.nl/index.html,,,,"© Safetyprepare B.V., Dit werk is auteursrechtelijk beschermd. Aan directe informatie op deze site of aan informatie die indirect beschikbaar komt door aangeboden linken of doorverwijzingen kunnen geen rechten worden verbonden.",httpswwwsafetypreparenlindexhtml,3454,6457,58,Wildemanstraat 46,Oisterwijk,5062HB,NL,2022-01-01,Safetyprepare B.V.,88338800,+31135902921,605583359,safetyprepare
3455,https://danielshuisman.nl,200,Daniels Huisman Advocaten - Daniels Huisman,,,,Copyright © Daniels Huisman ·,daniels huisman advocaten daniels huisman,3455,7425,58,Twentepoort West 10,Almelo,7609RD,NL,2009-01-01,Daniels Huisman N.V.,08200122,+31546760860,600572802,daniels huisman nv
3456,https://adriaanse-tom.nl,200,Adriaanse Tom Bags and Shoes,mailto:info@adriaanse-tom.nl,tel:010 – 4511103,,© Copyright 2022 - Website realisatie:,adriaanse tom bags and shoes,3456,2889,57,Spoorweg 6,Hulst,4561XZ,NL,1982-01-01,Sjores Ambras Band,40303136,,522001009,sjores ambras band
3460,https://www.instalawiklusbedrijf.nl/,200,Instalawi Klusbedrijf,,,,Instalawi Klusbedrijf © 2022 All rights reserved.,instalawi klusbedrijf,3460,4997,100,Emmerikseweg 363,Zutphen,7206DA,NL,2020-01-01,Instalawi Klusbedrijf,77203771,,604434352,instalawi klusbedrijf
3461,https://peperspannekoekenhuis.nl,200,peperspannekoekenhuis.nl,,,,,peperspannekoekenhuisnl,3461,6904,56,2E Schuytstraat 68,'s-Gravenhage,2517XH,NL,2003-01-01,Het Rekenhuis,27255382,+31703463396,519285877,rekenhuis
3463,https://imagingrheumatology.com,200,IMAGING | RHEUMATOLOGY | INTERNATIONALHome,mailto:info@imagingrheumatology.com,,,,imaging rheumatology internationalhome,3463,9372,69,Korte Raarberg 46,Meerssen,6231KR,NL,2009-01-01,Imaging Rheumatology B.V.,14092830,+31433110025,520847700,imaging rheumatology
3464,https://vanzwolbadkamers.nl,200,Website 1-1-2024 down.,,,,,website 112024 down,3464,7310,50,Ambachtsweg 59,Huizen,1271AL,NL,1989-01-01,Down Wind B.V.,32047121,+31355251159,524563479,down wind
3466,https://blau.nl,200,blau | stedenbouw en landschap,,,,,blau stedenbouw landschap,3466,3747,57,Valkenswaardstraat 137,Tilburg,5036SK,NL,2007-01-01,Twee Blauwe Ogen en Een Lach B.V.,18089017,+31135710175,526142128,twee blauwe ogen lach
3467,https://montessorischoolvenray.nl,200,Home | Montessorischool Venray,mailto:p.janssen@mozon.nl,,,© 2024 MOZON,home montessorischool venray,3467,1277,59,Laagheidseweg 19 A,Venray,5804BJ,NL,2018-01-01,Hendrickx Venray B.V.,72012714,+31478583525,603814601,hendrickx venray
3468,https://www.hillcopoeliersbedrijf.nl/,200,Home - Hillco Poeliersbedrijf,mailto:info@hillcopoeliersbedrijf.nl,tel:0318-430638,,© 2024 Hillco Poeliersbedrijf,home hillco poeliersbedrijf,3468,8929,90,Seringstraat 49 A,Ederveen,6744WZ,NL,2022-01-01,Hillco Poeliersbedrijf B.V.,69570485,+31318430638,603524303,hillco poeliersbedrijf
3470,https://diezain.com,200,Home Diezain Creatieve Workshops,,tel:06-50582128,,,home diezain creatieve workshops,3470,2000,92,Anemonenstraat 22,Rijnsburg,2231KJ,NL,2010-01-01,Diezain Creatieve Workshops,50281941,,600989102,diezain creatieve workshops
3478,https://zeroamsterdam.nl,200,Z E R O | artist in amsterdam,,,,,z e r o artist amsterdam,3478,981,71,Plesmanweg 17,Almelo,7602PD,NL,2016-01-01,Box at Work Amsterdam B.V.,66059682,+31546876500,603108150,box at work amsterdam
3480,https://mafico.com,200,"Mafico – Import en distributie van muziek, foto en video",,tel:31104148426,,,mafico import distributie muziek foto video,3480,1520,52,Arsenaalplein 9,Venlo,5911BR,NL,2017-01-01,Merken Distributie,70041962,,603589511,merken distributie
3481,https://fields.ca,200,"Fields Stores - Every Day Items, Great Value since 1948",,tel:604-549-9280,,© 2023 FHC Enterprises | All Rights Reserved |,fields stores every day items great value since 1948,3481,3525,46,Wulpstraat 35,Utrecht,3582AW,NL,2016-01-01,Ceryan Raissa Illustraties,64915301,,602978098,ceryan raissa illustraties
3482,https://eltabv.nl,200,Home - ELTA,mailto:info@eltabv.nl,tel:053-4318305,,,home elta,3482,1163,70,Theo D'Orsingel 50,Berkel en Rodenrijs,2652LC,NL,2006-01-01,Elektra One,24390846,,497822023,elektra one
3483,https://www.seminarsopmaat.nl/,200,Home - Seminars op Maat,,,,,home seminars maat,3483,2701,84,Bispinckpark 21,Bloemendaal,2061SG,NL,2011-01-01,Seminars op Maat B.V.,33305931,,514178332,seminars maat
3484,https://gavetafel.nl,200,Gave Tafel - HOME,,,,,gave tafel home,3484,8203,80,Galderseweg 91,Galder,4855AG,NL,2015-01-01,Gave Tafel,63324016,,602786095,gave tafel
3485,https://www.stootlijst.com/,200,"Stootlijst.nl | bootbescherming | Breda, Nederland",mailto:info@stootlijst.nl?subject=Contact Stootlijst,tel:0630729941,,,stootlijstnl bootbescherming breda nederland,3485,9525,55,De Favaugeplein 27 HS,Zandvoort,2042TP,NL,2009-01-01,Mountain Sports Nederland B.V.,28077476,,513504739,mountain sports nederland
3486,https://www.massagewebshop.nl/,200,MassageWebshop | MassageWebshop,,,,© 2008 - 2024 MassageWebshop |,massagewebshop massagewebshop,3486,2595,68,Schaafstraat 20 G,Amsterdam,1021KE,NL,2008-01-01,Massage Webshop,34315514,+31203638372,600344502,massage webshop
3488,https://www.stapelfinancieringen.nl/,200,Stapelfinancieringen - Stapelen is het nieuwe financieren,,tel:0031138500121,,© 2024 Stapelfinancieringen,stapelfinancieringen stapelen nieuwe financieren,3488,566,59,Burgemeester Brokxlaan 12,Tilburg,5041SB,NL,2021-01-01,Stapelfinancieringen B.V.,62686518,+31138500121,602709340,stapelfinancieringen
3489,https://www.modrix.nl/pg-25025-7-45624/pagina/home.html,200,Home - Modrix uitzendbureau BV,mailto:info@modrix.nl,,,,home modrix uitzendbureau,3489,8619,74,Avenue Carnisse 156,Barendrecht,2993MJ,NL,2009-01-01,Mijn Uitzendbureau B.V.,24447094,+31180612333,600357571,mijn uitzendbureau
3490,https://www.logx.nl/cms/,200,LogX – Websitebouw en Fotografie,,,,,logx websitebouw fotografie,3490,3787,65,Vosbergerhout 95,Harderwijk,3845EP,NL,2023-01-01,Jules Fotografie,90795059,,605889352,jules fotografie
3493,https://novakeramiek.nl/about-nova/,200,About Nova -,mailto:enschede@novakeramiek.nl,,,,about nova,3493,2534,67,Handelslaan 16,Uden,5405AE,NL,2001-01-01,Nova Nature B.V.,17133227,+31413241500,517169520,nova nature
3495,https://verhoevenverwarming.nl,200,Verhoeven Verwarming - Leende,mailto:info@verhoevenverwarming.nl,tel:0402064111,,© 2024 - Verhoeven Verwarming - Leende -,verhoeven verwarming leende,3495,5737,85,Valkenswaardseweg 27 A,Leende,5595CA,NL,1998-01-01,Verhoeven Verwarming B.V.,17075613,+31402064111,526236727,verhoeven verwarming
3497,https://stucadoorsbedrijfquist.nl,200,"Stucadoorsbedrijf Quist Ureterp, Stucadoren wand- plafond- vloerafwerking",mailto:info@stucadoorsbedrijfquist.nl,tel:0512 54 41 41,,Copyright 2024 © stucadoorsbedrijfquist.nl,stucadoorsbedrijf quist ureterp stucadoren wand plafond vloerafwerking,3497,8543,56,De Gilden 24,Ureterp,9247CX,NL,1997-01-01,Stucadoorsbedrijf Quist V.O.F.,86094750,+31512544141,605336511,stucadoorsbedrijf quist vof
3502,https://www.flevum.nl/,200,Home - Flevum,mailto:corporate@flevum.nl,tel:010-2340401,,© 2021 Flevum -,home flevum,3502,7936,71,Olivier van Noortlaan 108,Vlaardingen,3133AT,NL,2006-01-01,Flevum B.V.,24407821,+31102340401,520810320,flevum
3503,https://www.stiermankunststofvloeren.nl/,200,Welkom - Stierman Kunststofvloeren,,tel:0623172442,,© copyright Stierman Kunststofvloeren |,welkom stierman kunststofvloeren,3503,3577,88,Tinstraat 79,Ridderkerk,2984AN,NL,2009-01-01,Stierman Kunststofvloeren,24449487,,600391987,stierman kunststofvloeren
3505,https://fso-consulenten.nl,200,FSO Consulenten,mailto:info@fso-consulenten.nl,tel:0793311232,,,fso consulenten,3505,7238,100,Bredewater 16,Zoetermeer,2715CA,NL,2015-01-01,Fso Consulenten B.V.,64502341,+31793311232,602922780,fso consulenten
3506,https://www.fthgroep.nl/,200,Home | fthgroep,mailto:info@fthgroep.nl,,,© Copyright by FTH Groep,home fthgroep,3506,6014,73,Hogeveldseweg 2,Kesteren,4041CP,NL,2013-01-01,Fth Groep B.V.,59048778,+31488488888,602274284,fth groep
3507,https://technoproject.nl,200,Home - Technoproject,,tel:+31235541641,,,home technoproject,3507,281,84,Hoofdweg 850,Hoofddorp,2132MC,NL,2017-01-01,Technoproject B.V.,34088141,+31235541641,529785004,technoproject
3508,https://shop.imkru.nl/domein/papiergids-nl/,200,papiergids.nl - domeinnaam te koop,mailto:domeinen@imkru.nl?subject=Domeinnaam:%20papiergids.nl,,,,papiergidsnl domeinnaam koop,3508,3690,49,Egchelseweg 2 A,Panningen,5981CK,NL,2010-01-01,Vereniging van Eigenaars 'Heuvelhook Panningen',52610497,,601285821,vereniging eigenaars heuvelhook panningen
3513,https://heerenveensewandelfederatie.nl,200,Heerenveense Wandel Federatie - Heerenveense Wandel Federatie,mailto:hwf.heerenveen@gmail.com,,,,heerenveense wandel federatie heerenveense wandel federatie,3513,4601,66,Roerdomplaan 65,Heerenveen,8446JR,NL,1971-01-01,Heerenveense Wandel Federatie,01101174,+31513688481,600718944,heerenveense wandel federatie
3515,https://www.vermeerenmakelaardij.nl/,200,Vermeeren Makelaardij - Exclusief Landelijk & Agrarisch Vastgoed,,,,,vermeeren makelaardij exclusief landelijk agrarisch vastgoed,3515,4270,52,Ettenseweg 42,Rijsbergen,4891XV,NL,2007-01-01,Vermeeren Makelaardij B.V.,20131955,+31765964171,526143365,vermeeren makelaardij
3518,https://licht-huis.nl,200,Home - Lichthuis,mailto:info@licht-huis.nl,,,Copyright © Lichthuis  | ,home lichthuis,3518,4705,78,Gijsbrecht van Amstelstr 99 D,Hilversum,1214AV,NL,2021-01-01,Licht-Huis,83803122,,605067938,lichthuis
3519,https://www.plompfunderingstechnieken.nl/,200,Home - Plomp,mailto:info@plompfunderingstechnieken.nl,tel:0348562486,,,home plomp,3519,3718,59,Camerastraat 5,Almere,1322BB,NL,1999-01-01,Com Log B.V.,33266838,+31365470500,530440689,com log
3521,https://www.hengeveld-installatietechniek.nl/,200,Hengeveld Installatietechniek | Installatiespecialist in Neede,,tel:+31623250759,,© Copyright 2024 |,hengeveld installatietechniek installatiespecialist neede,3521,6459,67,Industrieweg 2 A,Neede,7161BX,NL,2019-01-01,Hengeveld Installatietechniek B.V.,74241753,,604075669,hengeveld installatietechniek
